title,original_title,score,genre,date,synopsis,durée,pays_origine
Generation Kill,,8.5,"Drama,War,Back to top",2008,"A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",70,"United States,United Kingdom"
The Expanse,,8.5,"Drama,Mystery,Sci-Fi,Back to top",2015–2022,"In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",60,United States
Mr Inbetween,,8.6,"Crime,Drama,Back to top",2018–2021,"Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,Australia
Regular Show,,8.5,"Animation,Action,Adventure,Back to top",2009–2017,The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23,United States
House of the Dragon,,8.5,"Action,Adventure,Drama,Back to top",2022– ,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",0,"United States,Color"
Community,,8.5,"Comedy,Back to top",2009–2015,A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,United States
Umbre,,8.8,"Crime,Drama,Thriller,Back to top",2014–2019,"Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies begin to surface.",45,Romania
Schitt's Creek,,8.5,"Comedy,Back to top",2015–2020,"After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They relocate there. Culture shock ensues.",22,"Canada,United States"
Hannibal,,8.5,"Crime,Drama,Horror,Back to top",2013–2015,Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44,United States
Cobra Kai,,8.5,"Action,Comedy,Drama,Back to top",2018– ,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,United States
Jujutsu Kaisen,,8.6,"Animation,Action,Adventure,Back to top",2020– ,A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself.,24,Japan
Futurama,,8.5,"Animation,Adventure,Comedy,Back to top",1999–2023,"Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,United States
