title,original_title,score,genre,date,synopsis,durée,pays_origine
Dexter,,8.7,"Crime,Drama,Mystery,Back to top",2006–2013,"He's smart. He's lovable. He's Dexter Morgan, America's favorite serial killer, who spends his days solving crimes and nights committing them. Golden Globe winner Michael C. Hall stars in the hit SHOWTIME Original Series.",53,United States
Parks and Recreation,,8.6,"Comedy,Back to top",2009–2015,The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.,22,United States
The Jinx: The Life and Deaths of Robert Durst,,8.6,"Documentary,Biography,Crime,Back to top",2015,"Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",279,United States
Father Ted,,8.7,"Comedy,Back to top",1995–1998,"Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.",25,United Kingdom
Deadwood,,8.6,"Crime,Drama,History,Back to top",2004–2006,"A show set in the late 1800s, revolving around the characters of Deadwood, South Dakota; a town of deep corruption and crime.",55,United States
Line of Duty,,8.7,"Crime,Drama,Mystery,Back to top",2012–2021,"Drama series following the investigations of AC-12, a controversial police anti-corruption unit.",60,United Kingdom
Mahabharat,,9.0,"Adventure,Drama,History,Back to top",1988–1990,"When a dynastic struggle between the collateral branches of the Kuru clan, the Kauravas and Pandavas lead them to the threshold of war, Lord Krishna decides to step in and take control of the situation.",45,India
1883,,8.8,"Drama,Western,Back to top",2021–2022,Follows the Dutton family as they embark on a journey west.,60,United States
Aspirants,,9.2,"Drama,Back to top",2021– ,It is the story of the journey of three UPSC (public service competitive exams in India) aspirants and their friendship against all odds.,45,India
Justice League Unlimited,,8.7,"Animation,Action,Adventure,Back to top",2004–2006,A continuation of the Justice League animated series finds the original members of the team joined in their battle against crime and evil by dozens of other heroes from the DC comics universe.,23,United States
The Thick of It,,8.7,"Comedy,Back to top",2005–2012,The Minister for Social Affairs is continually harassed by Number 10's policy enforcer and dependent on his not-so-reliable team of civil servants.,29,United Kingdom
Top Gear,,8.7,"Adventure,Comedy,Reality-TV,Back to top",2002– ,"The hosts talk about everything car-related. From new cars to how they're fueled, this show has it all.",60,United Kingdom
Berserk,Original title: Kenpuu Denki Berserk,8.7,"Animation,Action,Adventure,Back to top",1997–1998,"Guts is a skilled swordsman who joins forces with a mercenary group named 'The Band of the Hawk', lead by the charismatic Griffith, and fights with them as they battle their way into the royal court.",23,Japan
The Crown,,8.7,"Biography,Drama,History,Back to top",2016– ,Follows the political rivalries and romance of Queen Elizabeth II's reign and the events that shaped the second half of the twentieth century.,58,United Kingdom
The Grand Tour,,8.7,"Comedy,Sport,Talk-Show,Back to top",2016– ,"Follow Jeremy, Richard and James, as they embark on an adventure across the globe, driving new and exciting automobiles from manufacturers all over the world.",60,"United Kingdom,United States"
Friday Night Lights,,8.7,"Drama,Sport,Back to top",2006–2011,"A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.",44,United States
The Adventures of Sherlock Holmes,,8.7,"Crime,Drama,Mystery,Back to top",1984–1985,"Sherlock Holmes and Dr Watson solve the mysteries of copper beeches, a Greek interpreter, the Norwood builder, a resident patient, the red-headed league, and one final problem.",60,United Kingdom
House of Cards,,8.7,"Drama,Back to top",2013–2018,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,51,United States
Star Trek: The Next Generation,,8.7,"Action,Adventure,Sci-Fi,Back to top",1987–1994,"Set almost 100 years after Captain Kirk's 5-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on its own mission to go where no one has gone before.",44,United States
The Marvelous Mrs. Maisel,,8.7,"Comedy,Drama,Back to top",2017– ,"After her husband leaves her, young mother of two Miriam ""Midge"" Maisel discovers that she has a talent for stand-up comedy. Could this be her calling?",57,United States
Severance,,8.7,"Drama,Mystery,Sci-Fi,Back to top",2022– ,"Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs.",55,United States
Peep Show,,8.7,"Comedy,Back to top",2003–2015,Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.,25,United Kingdom
Mad Men,,8.7,"Drama,Back to top",2007–2015,"A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.",47,United States
Vinland Saga,,8.8,"Animation,Action,Adventure,Back to top",2019– ,Thorfinn pursues a journey with his father's killer in order to take revenge and end his life in a duel as an honorable warrior and pay his father a homage.,24,Japan
Invincible,,8.7,"Animation,Action,Adventure,Back to top",2021– ,An adult animated series based on the Skybound/Image comic about a teenager whose father is the most powerful superhero on the planet.,50,United States
Panchayat,,8.9,"Comedy,Drama,Back to top",2020– ,"A comedy-drama, which captures the journey of an engineering graduate Abhishek, who for lack of a better job option joins as secretary of a Panchayat office in a remote village of Uttar Pradesh.",35,India
Sarabhai V/S Sarabhai,,9.0,"Comedy,Back to top",2004–2017,"The show revolves around the lives of the members of an Uber Wealthy - High Society Gujarati family of Cuffe Parade - South Bombay, whose daughter-in-law is from a middle class Delhi background.",30,India
Downton Abbey,,8.7,"Drama,Romance,Back to top",2010–2015,A chronicle of the lives of the British aristocratic Crawley family and their servants in the early twentieth century.,58,United Kingdom
Battlestar Galactica,,8.7,"Action,Adventure,Drama,Back to top",2004–2009,"When an old enemy, the Cylons, resurface and obliterate the 12 colonies, the crew of the aged Galactica protect a small civilian fleet - the last of humanity - as they journey toward the fabled 13th colony, Earth.",44,United States
Stranger Things,,8.7,"Drama,Fantasy,Horror,Back to top",2016– ,"When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.",51,United States
Gullak,,9.1,"Comedy,Drama,Family,Back to top",2019– ,"Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.",24,India
House,Original title: House M.D.,8.7,"Drama,Mystery,Back to top",2004–2012,An antisocial maverick doctor who specializes in diagnostic medicine does whatever it takes to solve puzzling cases that come his way using his crack team of doctors and his wits.,44,United States
Fleabag,,8.7,"Comedy,Drama,Back to top",2016–2019,A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,27,United Kingdom
The Shield,,8.7,"Crime,Drama,Thriller,Back to top",2002–2008,Drama series following the lives and cases of dirty cop Vic Mackey and the LAPD unit under his command.,47,United States
The Simpsons,,8.7,"Animation,Comedy,Back to top",1989– ,The satiric adventures of a working-class family in the misfit city of Springfield.,22,United States
One Punch Man,Original title: One Punch Man: Wanpanman,8.7,"Animation,Action,Comedy,Back to top",2015–2019,"The story of Saitama, a hero that does it just for fun & can defeat his enemies with a single punch.",24,Japan
The Boys,,8.7,"Action,Comedy,Crime,Back to top",2019– ,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,60,United States
Steins;Gate,,8.8,"Animation,Comedy,Drama,Back to top",2011–2015,"After discovering time travel, a university student and his colleagues must use their knowledge of it to stop an evil organization and their diabolical plans.",24,Japan
Arrested Development,,8.7,"Comedy,Back to top",2003–2019,"Level-headed son Michael Bluth takes over family affairs after his father is imprisoned. But the rest of his spoiled, dysfunctional family are making his job unbearable.",22,United States
The Mandalorian,,8.7,"Action,Adventure,Fantasy,Back to top",2019– ,"The travels of a lone bounty hunter in the outer reaches of the galaxy, far from the authority of the New Republic.",40,United States
Over the Garden Wall,,8.8,"Animation,Short,Adventure,Back to top",2014,Two brothers find themselves lost in a mysterious land and try to find their way home.,22,United States
Kota Factory,,9.1,"Comedy,Drama,Back to top",2019–2021,"Dedicated to Shrimati SL Loney ji, Shri Irodov ji and Maanniya HC Verma ji, 'Kota Factory' is TVF's latest original. India's first 'Black and White' show highlights the problems present day IIT-JEE aspirants face in their day-to-day lives.",45,India
Dark,,8.7,"Crime,Drama,Mystery,Back to top",2017–2020,"A family saga with a supernatural twist, set in a German town where the disappearance of two young children exposes the relationships among four families.",60,"Germany,United States"
Oz,,8.7,"Crime,Drama,Thriller,Back to top",1997–2003,A series chronicling the daily activities of an unusual prison facility and its criminal inhabitants.,55,United States
Six Feet Under,,8.7,"Comedy,Drama,Back to top",2001–2005,A chronicle of the lives of a dysfunctional family who run an independent funeral home in Los Angeles.,60,United States
Peaky Blinders,,8.8,"Crime,Drama,Back to top",2013–2022,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",60,United Kingdom
Rome,,8.7,"Action,Drama,Romance,Back to top",2005–2007,A down-to-earth account of the lives of both illustrious and ordinary Romans set in the last days of the Roman Republic.,52,"United Kingdom,United States"
South Park,,8.7,"Animation,Comedy,Back to top",1997– ,"Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,United States
Ted Lasso,,8.8,"Comedy,Drama,Sport,Back to top",2020– ,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League football team.",30,United States
One Piece,Original title: One Piece: Wan pîsu,8.9,"Animation,Action,Adventure,Back to top",1999– ,"Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Piece"".",24,Japan
"I, Claudius",,8.9,"Biography,Drama,History,Back to top",1976,"The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",669,United Kingdom
Dragon Ball Z,Original title: Dragon Ball Z: Doragon bôru zetto,8.8,"Animation,Action,Adventure,Back to top",1989–1996,"The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaught of new extraterrestrial enemies.",24,
Dragon Ball Z,,8.8,"Animation,Action,Adventure,Back to top",1989–1996,"With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24,"Japan,United States,Canada"
Chappelle's Show,,8.8,"Comedy,Music,Back to top",2003–2006,Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22,United States
BoJack Horseman,,8.8,"Animation,Comedy,Drama,Back to top",2014–2020,"BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",25,United States
Black Mirror,,8.8,"Drama,Mystery,Sci-Fi,Back to top",2011–2019,"An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,"United Kingdom,United States"
Narcos,,8.8,"Biography,Crime,Drama,Back to top",2015–2017,"A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,"United States,Colombia"
As If,Original title: Gibi,9.0,"Comedy,Back to top",2021– ,Yilmaz and Ilkkan are two friends who are constantly fighting each other. Their greatest feature is always being able to do something that will turn their ordinary lives upside down.,30,Turkey
Twin Peaks,,8.8,"Crime,Drama,Mystery,Back to top",1990–1991,An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,47,United States
Blackadder Goes Forth,,8.8,"Comedy,War,Back to top",1989,"Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",175,United Kingdom
Fawlty Towers,,8.8,"Comedy,Back to top",1975–1979,"Hotel owner Basil Fawlty's incompetence, short fuse, and arrogance form a combination that ensures accidents and trouble are never far away.",30,United Kingdom
Freaks and Geeks,,8.8,"Comedy,Drama,Back to top",1999–2000,A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,44,United States
The West Wing,,8.9,"Drama,Back to top",1999–2006,Inside the lives of staffers in the West Wing of the White House.,44,United States
Pride and Prejudice,,8.8,"Drama,Romance,Back to top",1995,"While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",327,United Kingdom
Leyla and Mecnun,Original title: Leyla ile Mecnun,9.1,"Adventure,Comedy,Drama,Back to top",2011–2023,"Turkish television comedy series set in Istanbul, Leyla and Mecnun is a surreal and absurd comedy that revolves around the fictional love story between Leyla and Mecnun.",80,Turkey
Succession,,8.8,"Drama,Back to top",2018– ,"The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",60,United States
It's Always Sunny in Philadelphia,,8.8,"Comedy,Back to top",2005– ,Five friends with big egos and small brains are the proprietors of an Irish pub in Philadelphia.,22,United States
Taskmaster,,9.0,"Comedy,Game-Show,Back to top",2015– ,"Five comedians are set tasks challenging their creativity and wit. The tasks are supervised by Alex Horne but the Taskmaster, Greg Davies, always has the final word.",47,United Kingdom
Das Boot,,8.9,"Drama,War,Back to top",1985,A World War II German U-Boat crew have a terrifying patrol mission in the early days of the war.,293,"West Germany,France,United Kingdom,Italy"
Monty Python's Flying Circus,,8.8,"Comedy,Back to top",1969–1974,The original surreal sketch comedy showcase for the Monty Python troupe.,30,United Kingdom
Curb Your Enthusiasm,,8.8,"Comedy,Back to top",2000– ,The life and times of Larry David and the predicaments he gets himself into with his friends and complete strangers.,28,United States
Apocalypse: The Second World War,Original title: Apocalypse: La 2ème guerre mondiale,9.0,"Documentary,History,War,Back to top",2009,"This six-part series traces the Second World War, from the rise of the Nazis to the surrender of the Japanese, with detailed portraits of key figures.",312,France
Africa,,9.0,"Documentary,Back to top",2013,"Africa, the world's wildest continent. David Attenborough takes us on an awe-inspiring journey through one of the most diverse places in the world. We visit deserts, savannas, and jungles and meet up with some of Africa's amazing wildlife.",360,United Kingdom
TVF Pitchers,,9.1,"Comedy,Drama,Back to top",2015–2022,A story of trials and tribulations of four young entrepreneurs who quit their day jobs in order to pursue their start up venture.,40,India
Friends,,8.9,"Comedy,Romance,Back to top",1994–2004,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,22,United States
Last Week Tonight with John Oliver,,8.9,"Comedy,History,News,Back to top",2014– ,Former Daily Show host and correspondent John Oliver brings his persona to this weekly news satire program.,30,United States
When They See Us,,8.9,"Biography,Crime,Drama,Back to top",2019,Five teens from Harlem become trapped in a nightmare when they're falsely accused of a brutal attack in Central Park. Based on the true story.,296,United States
Gravity Falls,,8.9,"Animation,Action,Adventure,Back to top",2012–2016,"Twin siblings Dipper and Mabel Pines spend the summer at their great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",23,United States
Clarkson's Farm,,9.0,"Documentary,Comedy,Reality-TV,Back to top",2021– ,Follow Jeremy Clarkson as he attempts to run a farm in the countryside.,45,United Kingdom
Cowboy Bebop,Original title: Kaubôi bibappu,8.9,"Animation,Action,Adventure,Back to top",1998–1999,The futuristic misadventures and tragedies of an easygoing bounty hunter and his partners.,24,Japan
Fargo,,8.9,"Crime,Drama,Thriller,Back to top",2014– ,"Various chronicles of deception, intrigue and murder in and around frozen Minnesota. Yet all of these tales mysteriously lead back one way or another to Fargo, North Dakota.",53,United States
Persona,Original title: Sahsiyet,9.0,"Crime,Drama,Mystery,Back to top",2018,A man diagnosed with Alzheimer's decides to punish criminals.,65,Turkey
Scam 1992: The Harshad Mehta Story,,9.3,"Biography,Crime,Drama,Back to top",2020,"Set in 1980s and '90s Bombay, it follows the life of Harshad Mehta, a stockbroker who took the stock market to dizzying heights and his catastrophic downfall.",54,India
Arcane,Original title: Arcane: League of Legends,9.0,"Animation,Action,Adventure,Back to top",2021– ,"Set in utopian Piltover and the oppressed underground of Zaun, the story follows the origins of two iconic League champions-and the power that will tear them apart.",41,"United States,France"
Nathan for You,,8.9,"Documentary,Comedy,Back to top",2013–2017,"Nathan Fielder uses his business degree and life experiences to help real small businesses turn a profit. But because of his unorthodox approach, Nathan's genuine efforts to do good often draw real people into an experience far beyond what they signed up for.",30,United States
Batman: The Animated Series,,9.0,"Animation,Action,Adventure,Back to top",1992–1995,The Dark Knight battles crime in Gotham City with occasional help from Robin and Batgirl.,23,United States
The Twilight Zone,,9.1,"Drama,Fantasy,Horror,Back to top",1959–1964,"Ordinary people find themselves in extraordinarily astounding situations, which they each try to solve in a remarkable manner.",51,United States
Bluey,,9.6,"Animation,Family,Back to top",2018– ,The slice-of-life adventures of an Australian Blue Heeler Cattle Dog puppy as she has fun with her family and friends in everyday situations.,7,"Australia,United Kingdom"
Sherlock,,9.1,"Crime,Drama,Mystery,Back to top",2010–2017,A modern update finds the famous sleuth and his doctor partner solving crime in 21st-century London.,88,"United Kingdom,United States"
The Vietnam War,,9.1,"Documentary,History,War,Back to top",2017,A comprehensive history of the United States' involvement in the bitterly divisive armed conflict in Southeast Asia.,990,United States
The Last Dance,,9.1,"Documentary,Biography,History,Back to top",2020,"Charting the rise of the 1990s Chicago Bulls, led by Michael Jordan, one of the most notable dynasties in sports history.",491,United States
Life,,9.1,"Documentary,Back to top",2009,David Attenborough's legendary BBC crew explains and shows wildlife all over planet earth. From giving an overview of the challenges facing life to hunting the deep sea and various major evolutionary groups of creatures.,473,"United Kingdom,United States,Greece,Italy,Germany"
Fullmetal Alchemist: Brotherhood,Original title: Hagane no renkinjutsushi,9.1,"Animation,Action,Adventure,Back to top",2009–2010,Two brothers search for a Philosopher's Stone after an attempt to revive their deceased mother goes awry and leaves them in damaged physical forms.,24,Japan
Our Planet,,9.3,"Documentary,Back to top",2019,"Documentary series focusing on the breadth of the diversity of habitats around the world, from the remote Arctic wilderness and mysterious deep oceans to the vast landscapes of Africa and diverse jungles of South America.",403,"United States,United Kingdom"
The World at War,,9.2,"Documentary,History,War,Back to top",1973–1974,"A groundbreaking 26-part documentary series narrated by the actor Laurence Olivier about the deadliest conflict in history, World War II.",52,United Kingdom
Rick and Morty,,9.1,"Animation,Adventure,Comedy,Back to top",2013– ,An animated series that follows the exploits of a super scientist and his not-so-bright grandson.,23,United States
Game of Thrones,,9.2,"Action,Adventure,Drama,Back to top",2011–2019,"Nine noble families fight for control over the lands of Westeros, while an ancient enemy returns after being dormant for millennia.",57,"United States,United Kingdom"
Cosmos,,9.3,"Documentary,Back to top",1980,Astronomer Carl Sagan leads us on an engaging guided tour of the various elements and cosmological theories of the universe.,780,"United States,United Kingdom"
The Sopranos,,9.2,"Crime,Drama,Back to top",1999–2007,"New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.",55,United States
Blue Planet II,,9.3,"Documentary,Back to top",2017–2022,"David Attenborough returns to the world's oceans in this sequel to the acclaimed documentary filming rare and unusual creatures of the deep, as well as documenting the problems our oceans face.",364,"United Kingdom,United States,China,France,Germany"
Avatar: The Last Airbender,,9.3,"Animation,Action,Adventure,Back to top",2005–2008,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",23,United States
Band of Brothers,,9.4,"Drama,History,War,Back to top",2001,"The story of Easy Company of the U.S. Army 101st Airborne Division and their mission in World War II Europe, from Operation Overlord to V-J Day.",594,"United States,United Kingdom"
The Wire,,9.3,"Crime,Drama,Thriller,Back to top",2002–2008,"The Baltimore drug scene, as seen through the eyes of drug dealers and law enforcement.",59,United States
Cosmos: A Spacetime Odyssey,,9.3,"Documentary,Back to top",2014,An exploration of our discovery of the laws of nature and coordinates in space and time.,557,United States
Planet Earth,,9.4,"Documentary,Back to top",2006,"Emmy Award-winning, 11 episodes, five years in the making, the most expensive nature documentary series ever commissioned by the BBC, and the first to be filmed in high definition.",538,United Kingdom
Chernobyl,,9.4,"Drama,History,Thriller,Back to top",2019,"In April 1986, an explosion at the Chernobyl nuclear power plant in the Union of Soviet Socialist Republics becomes one of the world's worst man-made catastrophes.",330,"United States,United Kingdom"
Breaking Bad,,9.5,"Crime,Drama,Thriller,Back to top",2008–2013,A chemistry teacher diagnosed with inoperable lung cancer turns to manufacturing and selling methamphetamine with a former student in order to secure his family's future.,49,United States
